i,j,value
-31,-31,0
-31,-30,0
-31,-29,0
-31,-28,0
-31,-27,0
-31,-26,0
-31,-25,0
-31,-24,0
-31,-23,0
-31,-22,0
-31,-21,0
-31,-20,0
-31,-19,0
-31,-18,0
-31,-17,0
-31,-16,0
-31,-15,0
-31,-14,0
-31,-13,0
-31,-12,0
-31,-11,0
-31,-10,0
-31,-9,0
-31,-8,0
-31,-7,0
-31,-6,0
-31,-5,0
-31,-4,0
-31,-3,0
-31,-2,0
-31,-1,0
-31,0,0
-31,1,0
-31,2,0
-31,3,0
-31,4,0
-31,5,0
-31,6,0
-31,7,0
-31,8,0
-31,9,0
-31,10,0
-31,11,0
-31,12,0
-31,13,0
-31,14,0
-31,15,0
-31,16,0
-31,17,0
-31,18,0
-31,19,0
-31,20,0
-31,21,0
-31,22,0
-31,23,0
-31,24,0
-31,25,0
-31,26,0
-31,27,0
-31,28,0
-31,29,0
-31,30,0
-31,31,0
-30,-31,0
-30,-30,1.84854e-05
-30,-29,3.2192e-05
-30,-28,4.57412e-05
-30,-27,5.91035e-05
-30,-26,7.225e-05
-30,-25,8.51517e-05
-30,-24,9.77797e-05
-30,-23,0.000110105
-30,-22,0.0001221
-30,-21,0.000133736
-30,-20,0.000144986
-30,-19,0.000155821
-30,-18,0.000166215
-30,-17,0.000176142
-30,-16,0.000185577
-30,-15,0.000194495
-30,-14,0.000202872
-30,-13,0.000210687
-30,-12,0.000217919
-30,-11,0.000224548
-30,-10,0.000230556
-30,-9,0.000235929
-30,-8,0.000240651
-30,-7,0.000244712
-30,-6,0.000248101
-30,-5,0.00025081
-30,-4,0.000252836
-30,-3,0.000254174
-30,-2,0.000254825
-30,-1,0.00025479
-30,0,0.000254073
-30,1,0.000252682
-30,2,0.000250626
-30,3,0.000247914
-30,4,0.000244562
-30,5,0.000240583
-30,6,0.000235996
-30,7,0.000230819
-30,8,0.000225073
-30,9,0.00021878
-30,10,0.000211964
-30,11,0.000204649
-30,12,0.00019686
-30,13,0.000188625
-30,14,0.00017997
-30,15,0.000170923
-30,16,0.000161513
-30,17,0.000151768
-30,18,0.000141717
-30,19,0.000131389
-30,20,0.000120812
-30,21,0.000110016
-30,22,9.90284e-05
-30,23,8.78788e-05
-30,24,7.65952e-05
-30,25,6.52056e-05
-30,26,5.37377e-05
-30,27,4.22191e-05
-30,28,3.0677e-05
-30,29,1.91382e-05
-30,30,7.62956e-06
-30,31,0
-29,-31,0
-29,-30,3.20384e-05
-29,-29,5.46388e-05
-29,-28,7.69759e-05
-29,-27,9.90013e-05
-29,-26,0.000120667
-29,-25,0.000141925
-29,-24,0.000162728
-29,-23,0.000183029
-29,-22,0.00020278
-29,-21,0.000221936
-29,-20,0.00024045
-29,-19,0.000258278
-29,-18,0.000275375
-29,-17,0.000291698
-29,-16,0.000307205
-29,-15,0.000321857
-29,-14,0.000335614
-29,-13,0.00034844
-29,-12,0.000360302
-29,-11,0.000371168
-29,-10,0.000381008
-29,-9,0.000389797
-29,-8,0.000397512
-29,-7,0.000404134
-29,-6,0.000409648
-29,-5,0.00041404
-29,-4,0.000417304
-29,-3,0.000419433
-29,-2,0.000420429
-29,-1,0.000420295
-29,0,0.000419037
-29,1,0.000416667
-29,2,0.000413201
-29,3,0.000408656
-29,4,0.000403055
-29,5,0.000396423
-29,6,0.00038879
-29,7,0.000380186
-29,8,0.000370646
-29,9,0.000360206
-29,10,0.000348905
-29,11,0.000336783
-29,12,0.000323884
-29,13,0.000310251
-29,14,0.000295928
-29,15,0.000280962
-29,16,0.0002654
-29,17,0.000249288
-29,18,0.000232674
-29,19,0.000215605
-29,20,0.00019813
-29,21,0.000180296
-29,22,0.000162149
-29,23,0.000143738
-29,24,0.000125108
-29,25,0.000106306
-29,26,8.73787e-05
-29,27,6.83702e-05
-29,28,4.93258e-05
